cps19_votechoice,cps19_gender,cps19_age,cps19_province,cps19_education,education_level,gender,Age
Don't know/ Prefer not to answer,A woman,59,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A man,64,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
ndp,A woman,54,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A man,34,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Don't know/ Prefer not to answer,A woman,51,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A man,35,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Liberal Party,A man,39,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A woman,48,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Liberal Party,A woman,39,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A woman,39,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A man,51,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Liberal Party,A woman,64,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A woman,56,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Bloc Québécois,A man,63,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,49,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
ndp,A man,35,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A woman,50,Ontario,Some university,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A man,43,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Green Party,A woman,32,Nova Scotia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Don't know/ Prefer not to answer,A woman,48,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Liberal Party,A woman,56,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Don't know/ Prefer not to answer,A woman,53,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Liberal Party,A man,61,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
ndp,A woman,30,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Liberal Party,A man,47,British Columbia,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Liberal Party,A woman,44,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,45,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Liberal Party,A man,40,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A man,46,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A man,41,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,35 to 44
Conservative Party,A man,57,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Liberal Party,A man,33,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,25 to 34
Liberal Party,A woman,55,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A woman,55,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
ndp,A man,40,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A woman,35,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Liberal Party,A man,61,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,57,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A man,45,Northwest Territories,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,45 to 54
Don't know/ Prefer not to answer,A woman,30,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Bloc Québécois,A man,45,Quebec,Some university,University certificate or diploma below bachelor level,Male,45 to 54
Green Party,A woman,55,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Don't know/ Prefer not to answer,A woman,44,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Liberal Party,A woman,62,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Conservative Party,A man,36,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Conservative Party,A woman,56,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Bloc Québécois,A woman,59,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
ndp,A woman,52,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,45 to 54
Liberal Party,A woman,62,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A man,58,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Bloc Québécois,A man,34,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
Conservative Party,A woman,27,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Liberal Party,A man,56,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
Bloc Québécois,A man,55,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
People's Party,A woman,54,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A woman,30,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,25 to 34
Don't know/ Prefer not to answer,A woman,62,Nova Scotia,Master's degree,"Highest certificate, diploma or degree",Female,55 to 64
Don't know/ Prefer not to answer,A woman,64,Quebec,Completed elementary school,NA,Female,55 to 64
Conservative Party,A man,26,Quebec,Some university,University certificate or diploma below bachelor level,Male,25 to 34
Liberal Party,A woman,54,Nova Scotia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Conservative Party,A man,63,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A man,62,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A man,42,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Bloc Québécois,A woman,44,Quebec,Some university,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A woman,64,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
ndp,A man,40,New Brunswick,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,35 to 44
Green Party,A woman,53,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A man,50,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A man,53,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Liberal Party,A woman,49,Ontario,Master's degree,"Highest certificate, diploma or degree",Female,45 to 54
Don't know/ Prefer not to answer,A woman,49,Quebec,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Conservative Party,A man,56,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
Liberal Party,A woman,63,British Columbia,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,55 to 64
Conservative Party,A man,53,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,45 to 54
Liberal Party,A woman,54,Northwest Territories,Some secondary/ high school,Other,Female,45 to 54
Bloc Québécois,A woman,56,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A woman,49,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A man,48,Quebec,Some university,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A woman,53,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A woman,40,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Conservative Party,A man,63,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,55 to 64
